rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8,x_pos,y_pos,,,,,,,,,
-63,-72,-68,-78,-43,-59,-61,-60,3.5,3.5,,,,,,,,,
-64,-73,-67,-71,-44,-61,-69,-60,3.5,3.5,,,,,,,,,
-64,-64,-61,-60,-48,-67,-62,-65,3.5,3.5,,,,,,,,,
-62,-69,-67,-57,-43,-63,-74,-69,3.5,3.5,,,,,,,,,
-68,-67,-68,-62,-44,-65,-71,-60,3.5,3.5,,,,,,,,,
-67,-73,-62,-58,-48,-64,-63,-69,3.5,3.5,,,,,,,,,
-62,-71,-67,-74,-45,-61,-60,-69,3.5,3.5,,,,,,,,,
-62,-69,-68,-57,-49,-61,-60,-69,3.5,3.5,,,,,,,,,
-67,-70,-61,-76,-44,-61,-58,-68,3.5,3.5,,,,,,,,,
-64,-68,-71,-60,-45,-61,-58,-66,3.5,3.5,,,,,,,,,
-70,-69,-69,-58,-44,-61,-75,-68,3.5,3.5,,,,,,,,,
-66,-69,-68,-57,-44,-60,-59,-69,3.5,3.5,,,,,,,,,
-67,-70,-59,-72,-44,-61,-74,-68,3.5,3.5,,,,,,,,,
-70,-65,-68,-57,-44,-61,-75,-69,3.5,3.5,,,,,,,,,
-69,-69,-68,-57,-44,-63,-71,-60,3.5,3.5,,,,,,,,,
-70,-64,-65,-57,-44,-61,-71,-71,3.5,3.5,,,,,,,,,
-69,-64,-68,-75,-51,-65,-63,-62,3.5,3.5,,,,,,,,,
-64,-67,-62,-75,-46,-63,-61,-63,3.5,3.5,,,,,,,,,
-64,-65,-62,-74,-44,-61,-60,-63,3.5,3.5,,,,,,,,,
-65,-67,-66,-61,-44,-61,-59,-69,3.5,3.5,,,,,,,,,
-67,-68,-67,-61,-44,-61,-70,-64,3.5,3.5,,,,,,,,,
-68,-68,-67,-57,-46,-65,-72,-59,3.5,3.5,,,,,,,,,
-64,-66,-69,-83,-45,-61,-60,-63,3.5,3.5,,,,,,,,,
-68,-68,-67,-57,-44,-65,-75,-59,3.5,3.5,,,,,,,,,
-70,-65,-68,-79,-46,-63,-63,-60,3.5,3.5,,,,,,,,,
-64,-68,-62,-61,-45,-61,-57,-63,3.5,3.5,,,,,,,,,
-68,-69,-67,-57,-44,-66,-73,-71,3.5,3.5,,,,,,,,,
-69,-68,-68,-77,-45,-63,-60,-64,3.5,3.5,,,,,,,,,
-68,-64,-62,-61,-44,-61,-72,-64,3.5,3.5,,,,,,,,,
-68,-68,-67,-57,-44,-66,-63,-68,3.5,3.5,,,,,,,,,
-64,-68,-69,-79,-51,-63,-63,-60,3.5,3.5,,,,,,,,,
-65,-65,-62,-79,-44,-61,-63,-60,3.5,3.5,,,,,,,,,
-64,-65,-68,-57,-46,-63,-63,-60,3.5,3.5,,,,,,,,,
-64,-64,-62,-78,-44,-61,-60,-63,3.5,3.5,,,,,,,,,
-67,-64,-61,-68,-48,-68,-66,-68,3.5,3.5,,,,,,,,,
-65,-74,-61,-57,-48,-66,-61,-67,3.5,3.5,,,,,,,,,
-64,-85,-68,-60,-48,-60,-58,-58,3.5,3.5,,,,,,,,,
-63,-63,-73,-59,-43,-64,-73,-65,3.5,3.5,,,,,,,,,
-63,-63,-65,-65,-43,-66,-83,-65,3.5,3.5,,,,,,,,,
